1,2010080216002930,@95,138884131,@95,
2,2010080216010130,,138884131,@17,
3,2010080216015300,MR,138884131,@41,
4,2010080216020140,,138884131,@17,
5,2010080216022200,MR,138884131,@42,
6,2010080216024850,MR,138884131,@41,
7,2010080216030150,,138884131,@17,
8,2010080216030610,MR,138884131,@42,
9,2010080216033410,MR,138884131,@41,
10,2010080216035250,MR,138884131,@42,
11,2010080216040050,,138884131,@17,
12,2010080216041950,MR,138884131,@41,
13,2010080216043750,MR,138884131,@42,
14,2010080216050060,,138884131,@17,
15,2010080216050500,MR,138884131,@41,
16,2010080216052300,MR,138884131,@42,
17,2010080216055810,,138884131,@17,
18,2010080216060290,,138884131,@17,
19,2010080216061460,,138884131,@17,
20,2010080216062080,W-up,138884131,4055,
21,2010080216070080,,138884131,@17,
22,2010080216080090,,138884131,@17,
23,2010080216090100,,138884131,@17,
24,2010080216100110,,138884131,@17,
25,2010080216110110,,138884131,@17,
26,2010080216120120,,138884131,@17,
27,2010080216130130,,138884131,@17,
28,2010080216140140,,138884131,@17,
29,2010080216150150,,138884131,@17,
30,2010080216160060,,138884131,@17,
31,2010080216170070,,138884131,@17,
32,2010080216180070,,138884131,@17,
33,2010080216190080,,138884131,@17,
34,2010080216200090,,138884131,@17,
35,2010080216210100,,138884131,@17,
36,2010080216220110,,138884131,@17,
37,2010080216224920,MR,138884131,4000,
38,2010080216230120,,138884131,@17,
39,2010080216233700,,138884131,@17,
40,2010080216235310,,138884149,@17,
41,2010080216235860,,138884161,@17,
44,2010080216250140,,138884161,@17,
45,2010080216251500,,138884161,@17,
46,2010080216253700,,138884191,@17,
47,2010080216260140,,138884191,@17,
48,2010080216262650,,138884191,@17,
49,2010080216265310,,138884235,@17,
50,2010080216271310,@61,138884286,@61,
51,2010080216272210,,138884310,@17,
52,2010080216280060,,138884310,@17,
53,2010080216290070,,138884310,@17,
54,2010080216294650,@59,138884310,@59,
55,2010080216294650,@62,138884310,@62,
56,2010080216300080,,138884310,@17,
57,2010080216300900,@60,138884310,@60,
58,2010080216302260,,138884310,@17,
59,2010080216305350,,138884370,@17,
60,2010080216311260,,138884419,@17,
63,2010080216313450,W-up,138884419,@47,ON
64,2010080216313460,W-up,138884419,@47,ON
65,2010080216313510,W-up,138884419,@47,ON
66,2010080216313510,W-up,138884419,@47,ON
67,2010080216313510,W-up,138884419,@47,ON
68,2010080216313520,W-up,138884419,@47,ON
69,2010080216320100,,138884419,@17,
70,2010080216330100,,138884419,@17,
71,2010080216331160,W-up,138884419,@48,OFF
72,2010080216331160,W-up,138884419,@48,OFF
73,2010080216331160,W-up,138884419,@48,OFF
74,2010080216331210,W-up,138884419,@48,OFF
75,2010080216331260,W-up,138884419,@48,OFF
76,2010080216331260,W-up,138884419,@48,OFF
77,2010080216340110,,138884419,@17,
78,2010080216342550,,138884419,@17,
79,2010080216345310,,138884467,@17,
80,2010080216351000,,138884510,@17,
81,2010080216360130,,138884510,@17,
82,2010080216365610,,138884510,@17,
83,2010080216370140,,138884510,@17,
84,2010080216372040,,138884549,@17,
85,2010080216372180,,138884553,@17,
86,2010080216372180,,138884553,@17,
87,2010080216375360,,138884637,@17,
88,2010080216385260,,138884792,@17,
89,2010080216395300,,138884952,@17,
90,2010080216405260,,138885110,@17,
91,2010080216415310,,138885269,@17,
92,2010080216422580,Prod,138885353,8019,
93,2010080216422590,Prod,138885353,8030,
94,2010080216422600,Prod,138885353,@119,
99,2010080216423360,W-up,138885353,@47,ON
100,2010080216430090,,138885353,@17,
101,2010080216440100,,138885353,@17,
102,2010080216441000,W-up,138885353,@48,OFF
103,2010080216444710,Prod,138885353,8018,
104,2010080216444720,Prod,138885353,8029,
